bodyType,color,fuelType,productionDate,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,Руль,Состояние,Владельцы,ПТС,Таможня,Владение,Price
хэтчбек 5 дв.,чёрный,Бензин,2011,автоматическая,1.6,170,156000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,6 лет и 11 месяцев,650000
хэтчбек 3 дв.,белый,Бензин,2010,автоматическая,1.6,115,110000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,1 год и 8 месяцев,470000
купе,чёрный,Бензин,2008,автоматическая,3.0,306,160000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,800000
хэтчбек 5 дв.,белый,Бензин,2012,автоматическая,1.6,170,187000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,650000
хэтчбек 5 дв.,белый,Бензин,2012,автоматическая,1.6,136,124000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,1 год и 8 месяцев,670000
хэтчбек 3 дв.,белый,Бензин,2010,автоматическая,1.6,115,91150,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,510000
хэтчбек 5 дв.,белый,Бензин,2009,автоматическая,1.6,115,94000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,10 лет и 10 месяцев,520000
хэтчбек 5 дв.,белый,Бензин,2013,автоматическая,1.6,136,142000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,1 год и 4 месяца,630000
хэтчбек 5 дв.,чёрный,Бензин,2009,автоматическая,1.6,115,151000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,2 года и 1 месяц,409000
хэтчбек 5 дв.,белый,Дизель,2013,автоматическая,2.0,184,160000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,890000
хэтчбек 3 дв.,чёрный,Бензин,2010,автоматическая,1.6,115,109000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,450000
хэтчбек 5 дв.,белый,Бензин,2012,автоматическая,1.6,136,150000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,3 года и 1 месяц,680000
хэтчбек 5 дв.,красный,Бензин,2011,автоматическая,1.6,115,194261,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,429000
хэтчбек 5 дв.,чёрный,Бензин,2010,автоматическая,1.6,115,120000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,420000
хэтчбек 5 дв.,белый,Бензин,2010,автоматическая,2.0,136,160000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,455000
хэтчбек 5 дв.,чёрный,Бензин,2010,автоматическая,1.6,115,104000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,460000
хэтчбек 5 дв.,белый,Бензин,2013,автоматическая,1.6,136,98000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,1 год и 4 месяца,675000
хэтчбек 5 дв.,белый,Бензин,2012,механическая,1.6,170,180000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,650000
хэтчбек 5 дв.,белый,Бензин,2010,автоматическая,1.6,115,150255,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,9 месяцев,510000
купе,красный,Бензин,2008,автоматическая,3.0,218,161000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,600000
хэтчбек 3 дв.,чёрный,Бензин,2011,автоматическая,1.6,115,92000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,550000
хэтчбек 5 дв.,белый,Бензин,2011,автоматическая,1.6,115,120000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,530000
хэтчбек 3 дв.,серый,Бензин,2007,автоматическая,2.0,156,245000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,1 год и 6 месяцев,470000
хэтчбек 5 дв.,синий,Бензин,2012,автоматическая,1.6,170,148000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,700000
хэтчбек 5 дв.,серый,Бензин,2008,автоматическая,2.0,136,170000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,3 года и 7 месяцев,440000
хэтчбек 5 дв.,чёрный,Бензин,2007,механическая,1.6,115,176000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,385000
хэтчбек 5 дв.,красный,Бензин,2013,автоматическая,1.6,136,160000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,590000
хэтчбек 5 дв.,белый,Бензин,2010,автоматическая,1.6,115,125000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,2 года и 11 месяцев,490000
хэтчбек 5 дв.,чёрный,Бензин,2013,автоматическая,1.6,136,146000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,670000
хэтчбек 5 дв.,оранжевый,Дизель,2012,автоматическая,2.0,184,115000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,6 лет и 9 месяцев,930000
